Column1;Unnamed: 0;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
167;167;oat bran bagel;176;8;1;2;3;368;11;74;25;0;4;227;31;2;53;0;2;2;3;5;1;0;2;14;83;1;21;214;6;759;794;87;6;58051
168;168;pain au chocolat de la boulangerie;235;12;276;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120
169;169;egg bagel;72;5;1;1;2;138;0;28;6;62;1;85;12;1;16;64;64;9;2;53;2;0;0;0;34;90;1;65;1;218;177;88;2;22349
170;170;english muffin toasted;140;11;3;2;5;274;18;54;15;0;2;171;0;3;41;74;1;26;2;51;9;0;2;2;1024;51;24;146;3;556;671;57;7;1411
171;171;english muffin whole wheat toasted;135;14;2;3;6;269;54;59;45;0;2;25;0;2;89;0;45;2;3;24;0;0;3;47;1757;1;16;47;12;1873;1391;99;11;2160
172;172;biscuit;357;165;44;7;42;45;22;71;15;3;6;292;0;4;6;11;3;3;3;60;2;0;0;0;2374;48;29;182;4;1656;1222;3;5;3106
173;173;french roll;105;16;4;7;3;191;1;33;12;0;2;132;0;2;70;0;1;17;2;87;0;0;1;88;346;48;1;76;2;319;433;67;3;608
174;174;oat bran dinner roll;78;15;2;5;5;133;22;31;14;0;1;145;0;1;76;0;82;16;1;21;0;0;2;45;281;4;14;109;2;38;399;67;3;488
175;175;pecan shortbread cookies;76;46;11;26;6;82;0;7;3;46;2;5;78;34;16;0;100;3;77;65;0;0;0;0;42;84;3;25;52;119;102;2;100;18349
176;176;oatmeal cookies;113;45;11;25;6;172;62;16;7;0;1;14;1;3;51;0;44;6;76;59;1;0;46;70;93;29;6;83;2;345;355;44;2;34069
177;177;chocolate wafers;485;159;47;54;47;811;332;74;38;22;8;5;89;2;38;37;3;32;4;71;0;0;8;39;347;5;45;594;8;1478;2352;48;12;147442
178;178;vanilla wafers low fat;353;122;31;52;31;589;30;4;15;408;3;41;37;2;45;28;3;25;3;27;0;0;2;82;384;36;19;112;2;832;776;1;3;116995
179;179;chocolate chip cookies mcdonalds;136;64;32;17;4;187;96;16;6;184;58;12;3;63;46;82;51;6;2;30;0;0;2;0;96;12;11;113;2;297;549;0;2;3809
180;180;gingersnap cookies;29;7;2;4;62;54;14;4;2;0;12;4;0;26;0;0;7;2;16;90;0;0;70;63;54;21;4;34;1;58;242;79;60;125
181;181;biscotti abbracci mulino bianco;54;26;16;68;26;8;51;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38
182;182;chocolate chip cookie;63;28;14;1;3;93;53;5;3;0;47;14;13;0;93;95;0;68;3;68;52;0;0;2;36;24;49;6;41;26;87;185;34;13122
183;183;brownie;243;98;25;54;4;383;22;29;13;102;2;82;20;2;46;98;1;1;3;92;0;0;98;48;174;0;14;186;1;606;894;53;4;71166
184;184;shortbread cookies;40;19;5;11;3;52;12;5;1;16;97;3;18;23;50;53;23;3;11;27;0;10;63;42;28;73;2;14;13;86;8;33;5;10729
185;185;oatmeal cookies with raisins;65;24;5;1;8;103;0;1;0;5;22;1;96;15;69;37;88;2;53;6;78;0;0;0;15;31;4;63;1;242;359;16;1;29198
186;186;peanut butter sandwich cookies;67;3;7;16;5;92;5;12;3;0;98;4;39;17;38;33;33;5;1;68;93;0;3;100;74;12;4;69;1;263;269;60;1;21624
187;187;sugar cookies;72;32;8;18;4;102;57;8;1;77;7;7;39;35;28;19;30;4;42;52;91;97;73;58;32;34;3;18;73;12;95;52;24;17981
188;188;chocolate covered graham crackers;68;32;18;11;1;93;58;8;4;0;67;4;16;17;19;0;97;3;4;95;0;0;62;71;81;19;5;81;1;188;293;33;1;22313
189;189;raisin cookies;60;2;5;11;3;102;71;6;2;3;77;2;8;31;74;0;82;3;46;44;100;0;3;86;69;40;3;32;1;125;21;39;34;20215
190;190;vanilla wafers;28;12;3;7;1;43;0;3;1;0;45;3;0;71;67;0;57;2;13;90;0;0;0;0;15;28;1;7;38;38;64;36;60;75
191;191;graham crackers;355;85;13;34;32;645;261;58;24;0;4;37;0;2;13;0;3;35;5;47;0;0;3;84;202;2;31;252;7;874;1134;98;7;1045
192;192;peanut butter cookies;95;48;9;22;14;118;0;18;0;62;1;12;66;44;92;23;60;7;25;79;32;0;0;0;78;75;4;78;1;232;462;62;2;26738
193;193;vanilla sandwich cookie;72;3;4;13;11;108;59;7;2;0;44;3;0;96;36;0;80;4;36;85;0;0;2;85;41;53;3;21;80;113;137;64;51;191
194;194;sugar wafers with creme filling;51;23;12;8;3;71;43;4;2;0;60;2;0;16;69;0;31;2;30;51;0;0;3;59;27;19;4;16;52;73;118;85;74;131
195;195;cheese puffs;197;128;19;38;69;186;11;21;6;25;3;6;12;10;39;35;65;16;3;92;0;0;15;43;20;38;7;63;33;448;662;31;2;54854
196;196;saltine crackers;13;3;97;98;1;22;63;3;22;0;67;1;37;0;75;97;33;94;2;17;62;0;0;71;59;6;25;2;8;88;33;48;39;3081
197;197;trail mix;139;88;17;38;29;135;0;41;0;0;14;28;0;1;2;0;27;14;3;77;4;0;0;0;234;3;9;474;3;1035;2055;0;1;511
198;198;corn cones;144;76;64;5;2;178;0;16;3;0;3;6;0;97;79;0;32;4;11;95;0;0;0;0;8;52;7;31;13;125;229;50;32;288
199;199;chocolate pretzels;50;18;8;6;2;78;0;8;0;0;37;3;0;68;94;0;78;3;33;52;76;0;0;0;81;81;2;45;71;16;248;0;1;18726
200;200;french toast sticks;73;38;9;21;6;89;21;13;3;0;1;73;0;79;41;0;75;6;27;85;0;0;2;40;114;36;4;41;29;188;24;66;1;261
201;201;crackers;82;42;9;1;21;98;13;11;4;0;1;5;2;0;81;79;0;52;7;67;87;0;0;5;36;192;11;6;29;76;397;189;53;15764
202;202;sesame sticks;54;37;6;11;17;47;84;11;3;0;90;2;0;25;6;0;45;2;33;18;0;0;4;43;17;80;55;45;68;138;177;21;1;2681
203;203;cheese crackers;34;16;4;4;7;42;3;8;2;2;65;2;50;56;39;95;28;30;4;65;9;0;0;2;26;95;32;3;18;75;14;109;31;7053
204;204;oriental rice cracker mix;143;72;11;28;3;146;8;49;37;0;1;7;0;33;38;0;83;9;1;26;37;0;16;68;153;69;7;334;4;741;928;67;8;46416
205;205;breadsticks;103;24;4;9;9;171;3;3;8;0;2;15;0;1;22;0;1;13;1;15;0;0;3;38;55;58;11;8;1;303;31;92;2;299
206;206;milk crackers;50;17;3;7;6;77;18;8;2;12;95;5;73;78;56;90;90;5;32;55;17;0;1;16;189;10;4;24;54;333;125;97;22;29845
207;207;matzo crackers whole wheat;98;4;5;19;2;221;0;37;33;0;2;13;0;1;88;0;13;15;3;78;0;0;0;0;64;79;13;375;1;854;885;40;7;372
208;208;matzo crackers with egg;109;6;2;2;1;22;0;34;8;232;57;18;77;2;41;6;2;14;1;39;70;0;0;0;112;69;8;67;2;414;42;48;2;38972
209;209;granola bites;23;9;5;2;1;33;15;4;3;0;67;4;0;44;13;20;30;23;1;41;86;44;0;1;15;21;74;24;35;17;108;143;16;5042
210;210;crackers whole wheat;120;4;6;9;19;195;3;3;29;0;2;8;0;74;68;0;11;13;2;74;0;0;4;75;101;1;9;308;6;927;966;73;7;404
211;211;tropical trail mix;619;239;119;35;72;918;0;88;0;0;1;126;0;6;99;0;2;21;17;5;106;0;0;0;798;7;37;1344;14;2604;9926;0;16;2186
212;212;soft pretzels;389;36;8;12;11;798;3;94;2;35;9;173;0;5;79;0;3;49;0;2;0;0;6;71;265;1;45;242;0;909;1012;30;11;1258
213;213;corn tostada shell;58;29;9;9;1;79;0;8;7;0;84;4;0;80;0;0;27;2;85;31;0;0;0;0;93;42;2;93;31;25;292;28;2;218
214;214;matzo crackers;111;4;30;45;2;234;98;28;8;0;0;12;0;1;77;0;13;11;1;78;0;0;26;47;36;10;9;7;2;249;314;22;2;319
215;215;sesame crunch;9;6;96;2;3;9;6;2;1;0;27;73;0;61;51;0;15;25;49;13;0;0;2;0;115;96;19;45;55;74;55;33;13;13351
216;216;trail mix with chocolate chips;707;466;89;198;165;656;0;207;0;58;2;96;0;6;10;0;3;64;14;4;19;0;0;0;1591;12;49;2351;16;565;9461;0;46;2988
217;217;cracker meal;440;2;3;2;8;93;4;107;3;0;78;87;0;8;2;0;5;66;5;17;0;0;5;53;265;3;53;276;11;1196;1323;86;8;1405
218;218;puffed rice;153;2;37;0;0;341;0;24;6;0;53;11;0;1;93;0;7;134;1;55;0;0;0;0;23;20;12;95;6;372;429;94;4;516
219;219;filinchen gutena;19;2;56;36;31;5;28;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
220;220;melba toast crackers;117;1;1;2;4;23;3;36;19;0;2;15;0;1;55;0;71;12;2;87;0;0;1;29;279;46;11;177;3;588;606;42;6;585
221;221;matzo crackers with egg onion;109;11;3;3;3;216;0;28;14;126;52;2;62;2;69;18;1;14;2;36;26;0;0;0;101;13;12;84;2;249;232;66;2;38316
222;222;cornnuts;126;44;7;27;9;203;2;24;2;0;2;4;0;24;0;0;15;5;1;94;0;0;6;97;25;1;5;32;1;778;787;64;5;321
223;223;bagel chips;789;265;12;106;36;1161;105;216;72;0;4;88;0;9;2;0;6;134;8;2;0;0;14;31;42;3;88;683;12;2293;245;30;18;2222
224;224;pretzels;115;9;1;2;4;241;7;3;1;0;4;9;37;0;1;84;0;26;16;1;84;6;0;1;10;81;80;14;87;3;384;669;10;29214
225;225;potato raw;164;2;28;63;71;372;17;43;47;0;72;169;0;2;2;0;20;22;6;6;42;0;59;43;256;2;17;49;3;1214;8967;79;6;1157
226;226;gatto di patate home made;202;94;46;21;94;4;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134
227;227;baked potato;161;2;74;86;1;366;2;43;38;0;97;1296;0;0;1;1;0;56;24;7;5;166;0;34;57;26;2;19;484;4;1211;9256;28;45667
228;228;potato sticks;188;124;32;22;64;192;6;24;12;0;2;8;0;41;43;0;62;17;1;1;17;0;33;89;65;1;8;23;2;619;4453;42;4;595
229;229;potato cooked;52;6;3;27;71;121;5;11;12;0;35;462;0;26;82;0;29;9;3;2;78;0;43;42;3;1;2;132;44;264;2274;22;2;25487
230;230;vivaldi potatoes sainsburys;23;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
231;231;potato ham chowder soup;192;125;39;59;8;134;0;65;14;216;9;2047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;355
232;232;russet potato raw;292;3;60;61;2;667;23;79;48;0;68;290;0;3;56;0;1;38;11;13;21;0;97;83;48;4;32;849;6;203;153870;55;11;1519
233;233;russet potato baked;290;4;1;56;2;641;32;79;69;0;84;2226;0;2;61;0;1;4;11;11;248;0;2;84;538;3;32;897;7;2123;164450;10;1;1611
234;234;french fries;13;4;10;3;67;22;88;2;2;0;56;59;0;43;19;0;42;2;76;85;15;0;61;86;8;28;76;19;22;74;363;0;18;5362
235;235;potato scalloped;216;9;55;25;4;264;0;7;47;294;8;1983;0;2;18;0;2;26;13;4;26;0;0;0;1397;4;14;466;4;1544;9261;64;1;2142
236;236;cottage fries;11;4;84;2;55;19;19;2;2;0;58;44;0;26;63;0;86;1;3;16;8;0;43;76;9;53;25;19;86;67;325;60;27;4413
237;237;mashed potatoes;215;68;14;17;32;355;12;4;31;0;7;1927;79;23;13;49;5;26;0;3;0;0;1;78;436;60;8;363;2;1428;6921;55;5;93836
238;238;mashed potato with milk and butter;237;89;55;22;4;353;3;39;32;231;7;1588;26;2;23;50;69;23;1;5;126;80;3;33;504;3;5;378;2;945;5964;74;6;114854
239;239;red potato raw;149;3;74;1;1;339;27;4;36;0;20;1724;0;2;26;0;60;24;6;4;183;0;3;51;213;3;16;469;3;1299;9692;22;7;830
240;240;potato pancake;59;32;5;8;17;61;4;13;7;209;2;105;98;85;96;4;98;4;2;52;61;91;55;24;7;43;4;79;6;282;1368;72;2;24864
241;241;potato puffs;243;11;23;77;6;355;3;26;32;0;6;764;0;2;19;0;49;19;4;2;81;0;3;1;179;10;8;218;2;1318;3994;18;4;791
242;242;red potato baked;74;1;8;78;4;167;12;2;15;0;37;652;0;0;97;34;0;46;14;3;2;107;0;66;75;77;1;6;238;1;612;4633;0;20689
243;243;potatoes canned;132;3;98;21;1;297;0;36;42;0;7;2635;0;1;11;0;15;27;5;4;228;0;0;0;117;2;22;42;2;66;615;49;12;1798
244;244;potato skin raw;22;99;93;8;70;47;0;1;1;0;53;317;0;55;31;0;24;4;1;38;43;0;0;0;114;2;12;87;2;144;1569;96;1;23697
245;245;shoestring french fries;4;1;59;83;60;7;62;99;99;0;55;12;0;8;4;0;92;75;3;48;3;0;22;48;3;57;52;5;57;24;106;38;53;1604
246;246;hash brown potato;144;9;13;41;3;153;3;14;14;0;3;261;41;0;23;12;0;55;1;1;68;29;0;14;69;101;4;3;111;99;519;1882;43;27245
247;247;baked chips lays;130;2;26;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
248;248;corn chips;162;10;13;27;49;172;31;19;12;0;2;3;21;66;62;86;0;76;3;2;73;0;0;22;68;414;21;4;216;1;582;432;42;30501
249;249;nacho cheese tortilla chips low fat;90;1;3;4;3;185;8;24;18;6;2;5;0;58;36;3;39;4;48;88;16;0;1;88;362;40;14;28;2;693;1121;56;1;629
250;250;corn chips barbecue;1036;647;88;188;32;1113;0;139;103;0;15;24;0;1;14;0;4;33;3;5;34;0;0;0;2594;3;3;1525;15;4099;4673;5;21;4660
251;251;corn chips unsalted;490;294;38;8;15;505;12;58;39;0;24;9;0;1;28;0;1;13;0;2;18;0;12;26;1091;2;15;616;0;1619;1628;87;7;2020
252;252;potato chips fat free;860;14;3;60;6;1901;84;219;17;0;15;45;0;25;1;0;3;146;0;18;211;0;29;6;795;4;81;1589;0;3791;369560;38;17;3391
253;253;sweet chilli kettle baked chips;99;22;3;169;12;21;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63
254;254;taro chips;11;6;1;1;3;16;40;49;2;0;22;64;0;88;67;0;77;30;100;91;1;0;3;78;14;97;8;19;87;3;174;80;69;4042
255;255;potato chips reduced fat;801;354;71;82;186;1137;4;121;10;0;8;17;0;4;28;0;5;119;5;11;437;0;93;76;357;1;23;1513;7;3281;296480;80;1;2529
256;256;onion snacks;150;68;13;4;9;195;14;23;12;0;3;6;87;92;10;0;48;1;61;84;5;0;8;3;87;72;11;84;100;216;429;2;86;40199
257;257;potato chips cheese;843;462;146;131;163;981;0;145;88;68;8;31;57;3;0;0;3;85;13;6;92;0;0;0;1224;4;31;1275;8;5083;259760;0;15;385109
258;258;yuca cassava chips;9;4;1;1;1;12;6;54;2;0;41;62;0;49;0;0;87;58;60;66;0;0;67;47;9;19;99;8;83;17;148;2;78;2621
259;259;tortilla chips low fat;117;16;2;5;8;226;2;31;15;0;1;5;0;89;52;0;1;1;0;3;95;0;2;43;45;6;5;275;0;90;77;87;3;74368
260;260;ranch flavor tortilla chips;992;488;7;14;268;1242;6;142;79;0;1;62;0;93;0;0;1;26;12;4;0;0;0;73;2653;2;27;1723;7;499;5128;32;28;4631
261;261;potato chips;161;104;33;3;37;159;7;21;14;0;21;6;0;86;45;0;6;11;13;2;93;0;27;20;72;1;5;201;2;495;3825;99;3;468
262;262;tortilla chips;142;62;8;17;32;203;2;21;16;0;77;8;2;0;6;71;31;57;3;4;92;0;0;11;14;318;2;5;252;0;675;546;41;30699
263;263;sweet potato chips;149;91;8;26;34;159;25;8;25;0;50;13;0;13;88;0;69;6;4;1;0;0;27;80;165;1;6;182;4;406;259;87;1;454
264;264;nacho cheese tortilla chips;156;82;12;27;37;182;8;22;15;0;2;5;21;2;23;85;0;21;4;2;38;1;0;0;2;411;71;3;225;1;756;669;72;30369
265;265;vegetable chips;134;66;5;41;19;171;11;15;13;0;3;18;0;19;2;0;25;8;1;2;14;0;14;27;147;11;4;15;15;368;2372;83;1;430
266;266;taco flavor tortilla chips;1090;549;105;324;76;1432;0;179;12;114;18;36;0;5;22;0;5;45;7;7;2;0;0;0;3519;4;46;1998;1;5425;4926;75;29;5865
267;267;potato chips barbecue;970;642;159;129;324;1045;14;152;87;0;13;38;0;4;2;0;4;93;12;12;671;0;122;15;99;7;38;1485;1;3683;249680;20;19;3625
268;268;pita chips;137;46;4;33;6;205;14;35;11;0;3;6;33;0;2;42;0;77;21;2;39;0;0;21;51;51;65;14;111;2;372;387;3;29893
269;269;potato chips sour cream and onion;1051;671;176;121;345;102;0;16;103;139;11;36;73;4;1;79;4;8;16;13;739;0;0;0;1426;6;32;1465;8;3485;263540;0;19;415171
270;270;adobo fresco;780;602;84;431;59;536;58;58;37;0;494;636;0;1;94;0;37;14;0;0;167;0;77;88;3542;88;92;662;0;1094;5386;24;7;5034
271;271;chili pepper sauce red;3;89;73;96;71;6;4;1;1;0;3;141;0;42;93;0;42;41;0;20;45;0;5;18;14;0;51;18;0;24;846;60;37;6755
272;272;creamy ranch sauce mcdonalds;132;147;22;31;8;1;1;3;0;59;2;117;0;9;0;7;75;9;21;6;0;0;1;0;82;79;39;8;56;85;221;0;71;24274
273;273;catsup;19;66;26;51;65;45;37;2;53;0;2;118;0;2;38;0;73;2;91;45;7;0;2;94;27;80;73;26;79;48;536;96;15;8299
274;274;chili pepper sauce green;3;32;48;37;16;8;4;1;3;0;30;141;0;2;70;0;46;1;0;70;102;0;6;36;8;62;23;18;0;21;846;23;90;12206
275;275;red wine vinegar;3;0;0;0;0;11;0;55;0;0;92;141;0;0;0;0;0;0;0;0;53;0;0;0;9;95;49;6;21;12;58;0;65;1221
276;276;fish sauce;6;13;80;0;39;7;7;9;0;0;14;128;58;52;43;47;31;4;86;93;12;0;0;0;77;89;1;315;82;13;518;21;57;9498
277;277;coleslaw dressing reduced fat;56;34;5;15;13;68;66;0;45;43;3;63;0;57;0;10;84;97;71;96;0;0;3;68;61;0;80;9;69;51;85;80;71;16403
278;278;sour dressing;21;2;16;2;35;6;6;4;0;6;94;9;23;46;46;75;20;33;80;84;1;0;2;24;136;17;91;12;21;104;194;58;64;16853
279;279;guava sauce cooked;86;3;14;68;1;226;14;8;86;0;17;2132;0;54;62;0;47;1;0;2;3484;0;13;8;167;2;4;167;3;262;5355;44;4;3978
280;280;pizza sauce;136;29;12;12;2;218;95;55;5;0;9;2185;0;0;2;74;0;1;36;9;3;285;0;0;0;1361;3;23;529;6;126;8921;0;358
281;281;sweetn sour sauce mcdonalds;48;3;75;91;1;11;10;2;0;0;2;161;0;37;0;0;60;1;42;69;3;0;2;0;17;76;2;17;49;45;277;0;50;137
282;282;nance syrup;4;2;0;0;0;8;6;28;3;0;35;28;0;35;0;0;84;69;0;12;4;0;0;0;16;15;13;6;69;3;72;0;0;3227
283;283;french dressing reduced fat;37;22;2;9;8;47;46;72;2;0;72;87;0;66;66;0;85;49;68;94;0;0;5;7;18;48;1;13;68;26;171;63;79;9052
284;284;peppercorn dressing;76;82;14;2;44;5;3;2;0;66;1;43;91;0;12;17;0;0;0;20;90;89;6;49;29;2;55;3;0;35;236;83;11;11946
285;285;sorghum syrup;61;0;0;0;0;157;157;0;0;0;96;48;0;30;0;0;51;20;2;1;0;0;0;0;315;98;8;21;3;118;210;13;46;480
286;286;ranch dressing fat free;17;3;7;72;92;37;7;39;88;1;1;96;78;79;40;0;60;7;1;22;0;0;33;77;7;32;1;11;37;158;155;47;41;11204
287;287;caesar dressing low calorie;17;7;1;2;4;28;24;28;53;3;2;11;87;38;65;0;79;36;89;0;0;0;1;96;36;67;16;3;29;29;44;50;29;7293
288;288;sweet sour dressing;2;0;0;0;0;6;6;82;0;0;65;153;0;73;57;0;0;17;91;40;13;0;4;73;6;87;78;5;47;5;53;7;99;2587
289;289;mayonnaise imitation fat free;13;4;5;3;31;25;16;43;3;14;1;126;0;0;0;0;29;0;0;0;0;0;40;23;1;95;8;3;0;8;78;37;37;4313
290;290;sofrito;488;375;0;0;0;112;0;264;35;0;24;1229;0;6;36;0;4;6;12;7;42;0;0;0;412;3;19;515;4;2863;8261;0;29;1637
291;291;turkey gravy instant;27;1;3;4;3;39;5;8;3;16;3;4;35;13;42;57;48;29;91;15;92;0;46;60;77;12;6;2;40;136;205;83;32;14333
292;292;teriyaki sauce;16;15;0;0;0;28;25;11;16;0;7;122;0;74;36;0;91;2;68;90;0;0;0;0;45;56;3;11;0;277;405;38;49;8733
293;293;tomato sauce;59;7;1;1;3;13;87;29;37;0;83;2236;0;29;32;2;0;2;24;8;2;172;0;35;83;343;3;24;368;3;662;7277;90;20864
294;294;barbecue sauce kraft;28;53;13;95;5;65;52;1;32;0;2;87;0;69;0;0;1;73;90;2;31;0;1;0;75;11;1;24;93;3;395;0;6;14388
295;295;cranberry sauce sweetened;418;4;56;57;2;1078;105;6;28;0;76;168;0;0;33;0;93;3;0;29;55;0;23;75;111;97;6;83;2;166;72;25;1;1288
296;296;coleslaw dressing;62;53;8;14;29;38;32;1;24;42;1;64;32;21;55;79;78;0;49;17;0;57;5;10;22;10;10;3;57;42;14;91;62;1162
297;297;onion gravy dry;77;7;4;2;24;162;0;22;14;5;1;1;0;17;61;82;46;9;26;68;17;0;0;0;672;26;2;82;35;487;629;91;2;896
298;298;corn syrup light;62;90;0;0;0;169;169;0;0;0;65;5;0;47;0;0;0;0;0;0;0;0;0;0;29;0;0;2;0;0;2;56;15;19806
299;299;bacon tomato dressing;49;53;8;13;29;3;3;3;40;6;1;88;64;83;0;35;91;1;0;33;13;0;6;31;6;13;57;9;0;38;162;9;45;7942
300;300;pancake syrup;53;75;25;94;42;139;84;0;0;0;64;6;0;24;0;0;37;36;75;0;0;0;0;0;1;24;38;4;16;2;12;79;97;15031
301;301;balsamic vinegar;14;0;0;0;0;27;24;41;0;0;71;122;0;0;0;0;0;0;0;0;0;0;0;0;43;74;1;19;46;3;179;0;33;7129
302;302;ranch dressing reduced fat;29;19;2;4;6;32;6;2;2;24;2;93;22;49;81;0;98;44;1;18;51;0;2;12;6;51;1;9;98;29;198;82;35;11727
303;303;barbecue sauce mcdonalds;46;3;90;69;1;103;96;4;4;0;3;162;0;32;76;0;25;2;71;88;0;0;3;0;31;8;1;36;56;84;552;0;97;146
304;304;vinegar oil dressing;72;8;15;24;39;4;4;0;0;0;76;76;0;0;0;0;0;0;0;0;0;0;7;24;0;0;0;0;0;0;13;60;0;84
305;305;poppyseed dressing;66;55;1;14;29;4;39;2;30;25;1;64;5;30;14;38;69;83;27;92;40;53;4;44;97;93;48;15;6;81;101;83;91;19612
306;306;honey mustard dressing;70;61;8;17;34;35;24;1;57;44;19;49;82;31;56;47;78;3;68;17;6;92;5;85;18;3;70;8;48;33;3;1;44;11752
307;307;french dressing fat free;21;24;67;88;97;51;26;10;4;0;1;104;0;40;27;0;0;72;71;0;0;0;32;17;8;73;81;5;2;0;134;19;10;6399
308;308;vinegar;3;0;0;0;0;89;63;0;0;0;24;141;0;0;0;0;0;0;0;0;0;0;0;0;9;89;2;1;72;6;3;31;28;102
309;309;spray dressing;13;9;1;0;0;13;11;70;75;0;12;57;0;0;0;0;0;0;0;0;55;0;0;0;5;0;96;0;0;0;0;0;0;2931
310;310;honey mustard dressing fat free;25;2;31;1;56;58;27;2;2;2;2;84;10;77;49;0;19;93;1;39;3;0;1;18;36;14;53;2;27;56;104;96;61;10426
311;311;mushroom gravy;119;64;1;28;24;13;0;3;1;0;14;2118;0;22;56;0;1;16;26;67;0;0;0;0;167;2;16;48;7;357;2523;78;17;417
312;312;white sauce;368;266;71;111;72;229;11;96;5;175;9;1872;3;2;18;55;5;1;8;1;2;12;7;34;295;33;8;35;1;245;390;73;1;3577
313;313;marinara pasta sauce;129;39;4;1;13;199;145;37;48;53;11;2307;0;21;62;0;2;103;2;5;53;0;63;42;713;2;21;475;4;898;8422;61;5;1110
314;314;tomato sauce with mushrooms;86;3;27;25;1;207;141;36;37;0;11;2155;0;2;16;0;3;31;9;3;304;0;47;49;319;5;22;466;5;784;931;19;5;928
315;315;pork gravy powder;25;6;3;3;7;43;17;6;2;7;4;3;2;11;40;63;37;2;94;15;95;0;7;56;93;11;3;23;60;126;157;97;9;15363
316;316;beef gravy;123;55;27;22;2;112;5;87;9;7;15;2038;79;68;67;25;64;15;27;49;0;0;13;5;14;2;16;47;5;699;1887;85;23;41982
317;317;green goddess dressing;64;65;9;14;35;11;1;3;94;6;1;68;52;76;48;71;40;42;0;28;37;0;7;61;51;4;67;11;0;47;87;2;81;132
318;318;salsa con queso;358;238;62;69;91;279;49;79;18;225;2;1843;69;60;95;41;2;3;14;1;1;0;47;90;245;48;4;20;80;500;2625;73;1;307813
319;319;cocktail sauce;19;2;0;0;0;42;18;2;3;0;2;99;2;78;66;0;69;1;33;42;17;0;2;14;39;23;1;26;96;45;464;75;86;10667
320;320;worcestershire sauce;13;0;0;0;0;33;17;0;0;0;2;134;36;23;9;0;51;1;0;0;22;0;36;42;182;90;9;22;0;102;136;67;23;24673
321;321;barbecue sauce;29;1;9;47;64;69;57;1;2;0;2;93;0;64;37;0;86;1;5;35;1;0;1;27;56;42;1;22;38;34;394;44;38;131
322;322;tomato sauce with onions;103;5;7;47;2;244;0;38;44;0;13;2109;0;2;3;0;3;3;9;7;311;0;0;0;417;4;23;466;7;956;101190;59;6;1082
323;323;brown gravy dry;22;6;2;3;61;36;0;6;1;2;3;3;33;13;29;11;39;2;59;61;48;0;0;0;79;32;1;2;48;122;157;38;13;13021
324;324;blue cheese dressing light;14;4;1;2;1;21;6;3;0;16;2;124;81;71;55;50;12;88;0;41;0;0;1;52;109;33;42;6;0;75;82;3;73;13835
325;325;spanish tomato sauce;81;7;7;16;3;177;0;35;34;0;12;2174;0;2;53;0;2;32;7;4;21;0;0;0;415;4;85;464;5;1171;9004;87;8;963
326;326;oyster sauce;9;66;16;20;44;2;0;2;24;0;5;144;0;89;5;50;49;3;9;23;36;0;0;0;58;37;69;7;83;4;97;72;22;8095
327;327;cheese sauce;30;22;12;7;2;8;33;15;71;57;2;10;3;35;80;0;15;73;83;82;67;23;96;95;467;100;47;29;84;344;213;78;2;51263
328;328;hoisin sauce;35;5;36;2;3;71;44;5;4;5;3;71;0;14;69;0;68;2;61;88;97;0;46;31;51;61;2;38;25;61;19;58;22;13882
329;329;pickle relish;20;61;93;83;36;53;44;97;2;0;1;93;0;0;42;0;11;50;90;53;2;0;26;18;5;38;1;8;40;21;38;0;5;6381
330;330;tomato sauce with herbs cheese;144;47;15;9;2;25;0;52;54;73;13;2036;0;2;35;0;3;29;7;8;244;0;0;0;903;4;21;464;5;1318;8686;29;9;1571
331;331;french dressing;73;72;9;13;34;25;26;1;0;0;1;58;0;20;0;15;20;91;0;0;6;0;8;65;38;0;1;8;97;3;107;0;84;143
332;332;mayonnaise hellmanns;15;17;9;93;2;87;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1737
333;333;canadian maple syrup;76;0;0;0;0;191;17;0;0;0;86;91;0;13;0;0;4;62;0;0;0;0;0;0;308;0;88;59;7;0;637;0;2;4995
